Medium,Name,Link,Follower,Engagement,Average Impression,,TOTAL ENG,ESTIMATED TOTAL IMPRESSION,Total Follower
Instagram,isgbank,https://www.instagram.com/p/DQU317jDYJk/?img_index=2&igsh=MWY2ZnlwM3hxMGQ3Yw==,958,10,200,,,,
Instagram,gulencsinem,https://www.instagram.com/reel/DO9JgT9jQ7l/?igsh=dWl6MG96eTVhc2lp,3252,40,1000,,,,
Website,Ads of the World,https://www.adsoftheworld.com/campaigns/stop-at-the-crosswalk-stop-the-accidents,,,73000,,,,
Website,Famous Campaigns,https://www.famouscampaigns.com/2025/10/this-crosswalk-in-istanbul-visualises-a-decade-of-pedestrian-deaths/,,,26300,,,,
Instagram,42courses,https://www.instagram.com/reels/DPMnfdxjYHA/,15000,20,2150,,,,
Website,bmoutdoor.com,https://bmoutdoor.com/info/Crosswalk-Billboard-Road-Safety,,,8400,,,,
Website,Adaddict Global,https://adaddictglobal.com/works/Stop-at-the-Crosswalk-Stop-the-Accidents,,,32,,,,
Instagram,trend__portal,https://www.instagram.com/trend__portal/p/DPm2K8uknNO/?img_index=7,41800,,,,,,
YouTube,Olay Medya,https://www.youtube.com/watch?v=L42Ljf5MzHw,1230,18,1600,,,,
Website,The Inspiration,https://theinspiration.com/2025/10/tuzla-municipality-stop-at-the-crosswalk-stop-the-accidents/,,,83,,,,
Instagram,puromerca,https://www.instagram.com/p/DPowbqCkQZF/,168000,1250,,,,,
Website,Ekonomim.com,https://www.ekonomim.com/gundem/tuzla-belediyesinden-istatistiklerle-anlatan-yaya-gecidi-haberi-845240,,,400300,,,,
Website,Creative Rounds,https://creativerounds.com/latest/safewalks,,,13,,,,
Website,Culture Pub,http://www.culturepub.fr/videos/stop-at-the-crosswalk-stop-the-accidents/,,,46100,,,,
Instagram,urbanupdatemag,https://www.instagram.com/p/DRzVxpliMj0/,7100,10,923,,,,
Website,Best Ads on TV,https://www.bestadsontv.com/ad/185424/Tuzla-Municipality-Accident-Awareness-Crosswalk-Billboards,,,18700,,,,
Instagram,marketingmind.in,https://www.instagram.com/p/DPggfvCkR1-/?igsh=bHJwMjA0cHM0N2x1,1600000,750,208000,,,,
LinkedIn,Good Ads Matter,https://www.linkedin.com/posts/good-ads-matter_goodadsmatter-marketing-branding-activity-7409178652397203456-L4Fg/,353492,600,33554,,,,
Facebook,Addict.il,https://www.facebook.com/Addict.il/posts/%D7%A2%D7%A6%D7%95%D7%A8-%D7%A1%D7%98%D7%98%D7%99%D7%A1%D7%98%D7%99%D7%A7%D7%94-%D7%9C%D7%A4%D7%A0%D7%99%D7%9A-httpswwwfacebookcomsharep19twwracne/1388461043282026/,1200,5,100,,,,
Website,Marketing Oops,https://www.marketingoops.com/campaigns/design/stop-at-the-crosswalk-stop-the-accidents/,,,47400,,,,
LinkedIn,Lürzer's Archive,https://www.linkedin.com/posts/l-rzers-archive_ooh-best-of-the-week-crosswalk-accident-activity-7379829212901314560-t7UM/,22795,330,3025,,,,
Mainstream TV,NOW News,NOW News: https://youtu.be/JtktNkP1JQY?list=PL3SU1S9f8K-1RZJUrDsm-CulZLOjnaoEt&t=3369,,,2910000,,,,
Website,Tuzla Municipality Official Website,https://www.tuzla.bel.tr/icerik/11/9063/tuzla-belediyesinden-yaya-guvenligi-icin-farkindalik-calismasi-kaza-istatistikleri-asfalta-yansitildi.aspx,,,54600,,,,
Website,Evrensel.net,https://www.evrensel.net/haber/573348/tuzla-belediyesinden-yaya-guvenligi-icin-farkindalik-calismasi,,,241300,,,,
Website,Tuzla Manşet,https://www.tuzlamanset.com/haber/tuzla-belediyesinden-yaya-guvenligi-icin-farkindalik-calismasi-h4493.html,,,2,,,,
Website,Haber Trafik,https://habertrafik.com.tr/tuzlada-yaya-gecitlerine-dikkat-ceken-cagri/,,,21,,,,
Website,Tuzla Detay,https://tuzladetay.com/belediye-haberleri/tuzla-belediyesinden-anlamli-yaya-gecidi-3604,,,438,,,,
Instagram,olaymedya34,https://www.instagram.com/reels/DO9KoHPlOn6/,2200,60,286,,,,
Instagram,tvtuzla,https://www.instagram.com/reels/DO9GDfKjtP0/,27900,12,3627,,,,
LinkedIn,Ayşe Eserova,https://www.linkedin.com/posts/ayseeserova_tuzla-belediyesi-ile-ger%C3%A7ekle%C5%9Ftirdi%C4%9Fimiz-activity-7379556351879852033-pLkg/?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABtd7QgBdsttU-ZI0U6v2VcqTJkdDe9ZHAk,297,190,279,,,,
